sample_key,metal,site,analyst,X,conc_blanked,conc_blanked_error,conc_unblanked,conc_unblanked_error
10,As75,F,CYT,3,920.0371743097961,173.63569337993778,1067.7083500765434,32.595183748295064
10,Cd111,F,CYT,4,40.84211877716158,20.33842080487111,56.73372712921264,10.551077372617726
10,Cd114,F,CYT,6,38.8329713921961,21.052868418168085,59.258771147895104,2.198937337037178
10,Cr52,F,CYT,5,3107.305781796937,232.1030544845933,4771.884853906358,169.28655035597276
10,Cr53,F,CYT,1,3146.83406014348,268.8170942808612,4835.503194930355,198.3891460212846
10,Pb208,F,CYT,2,26271.74102813758,2373.6187520678554,27686.978095487815,624.1388692284755
12,As75,F,DJHR,13,3950.6061306898673,199.22727437200277,4086.59782426748,124.49242116285366
12,Cd111,F,DJHR,15,91.8958153305169,19.80357351400871,106.5305382021025,11.693509316539805
12,Cd114,F,DJHR,17,111.21550097095503,19.984455067787167,130.02580086212845,5.40819873839449
12,Cr52,F,DJHR,14,12552.507248858994,391.8989225789248,14085.432858306096,386.09779975135115
12,Cr53,F,DJHR,18,12819.020598407333,400.24589269121003,14374.13095992191,387.04488452602766
12,Pb208,F,DJHR,16,112571.98178669663,3420.155956179724,113875.28613572389,2716.444425871605
13,As75,QC,DJHR,24,13221.243882735498,848.0504793170036,13359.395331816555,834.0273186382846
13,Cd111,QC,DJHR,22,2303.237094115835,215.85006748830685,2318.104238706952,215.32130065006336
13,Cd114,QC,DJHR,20,2513.774261599983,100.29931711150023,2532.8832977421926,98.6292495885328
13,Cr52,QC,DJHR,23,53810.05281148811,1709.115350369773,55367.32361757389,1727.9358990511212
13,Cr53,QC,DJHR,21,55014.361694012776,1492.1502660159895,56594.16957986422,1512.52593694493
13,Pb208,QC,DJHR,19,1176486.8006925792,75889.56428239189,1177810.8035024202,75870.24759306338
14,As75,D,CAG,27,2414.8647719651135,193.39094623105984,2574.02245409417,61.39432489735922
14,Cd111,D,CAG,28,150.03484958165703,20.551776448082443,167.16257635353756,8.51556156850148
14,Cd114,D,CAG,30,244.88264977430768,23.718995314770968,266.89725707915,7.534616027056813
14,Cr52,D,CAG,26,16314.951772221037,449.4818879155818,18109.009044819308,436.2509316959541
14,Cr53,D,CAG,29,16878.12545358493,459.7336875951063,18698.14661871794,437.8387977995225
14,Pb208,D,CAG,25,149275.06440962604,3953.8710208653306,150800.38477179589,3111.696545082844
15,As75,QC,CAG,36,15431.347818894254,366.1669190350637,15592.248887026535,318.40968552751525
15,Cd111,QC,CAG,34,2585.931060407855,76.89112757767919,2603.246401366633,74.75640164660757
15,Cd114,QC,CAG,31,2852.312982599068,68.12882858535697,2874.5687341435623,64.58419758798428
15,Cr52,QC,CAG,32,62542.347064190086,1499.923549960337,64356.05613302083,1518.1731729189748
15,Cr53,QC,CAG,35,64519.09458351143,1416.5604353378685,66359.05194891088,1434.1074823959416
15,Pb208,QC,CAG,33,1378179.2735865375,29148.452566188316,1379721.3020468291,29070.09143451868
16,As75,F,JHV,40,5747.5178684163775,210.925469822899,5890.751223763681,133.4889599398209
16,Cd111,F,JHV,39,120.19567777153428,19.440906605674332,135.6097108373026,9.73560410995876
16,Cd114,F,JHV,41,149.46891952767533,21.374155508738678,169.28088228526937,6.830345038348861
16,Cr52,F,JHV,37,19006.384828832888,558.1393072175956,20620.939900269,560.0321914833658
16,Cr53,F,JHV,42,19276.08495337047,527.7827072745847,20914.006131901646,523.6303244851629
16,Pb208,F,JHV,38,158570.54873453244,4434.451661007545,159943.25503768155,3861.7106346894434
17,As75,QC,JHV,48,15531.858054068001,422.3925082161275,15673.465039602028,392.08277926444885
17,Cd111,QC,JHV,46,2633.396537059866,111.43264448819335,2648.6355486160273,110.35586387949273
17,Cd114,QC,JHV,44,2799.6924969707643,74.45029669314957,2819.2795011068656,72.06495496018525
17,Cr52,QC,JHV,43,62980.78444084698,1841.1049460317352,64577.00674598234,1860.5382505058935
17,Cr53,QC,JHV,45,64956.22415814218,1643.5144879037318,66575.54725555718,1664.4791622121986
17,Pb208,QC,JHV,47,1361706.716114078,33402.09591497114,1363063.835767815,33356.79014297126
18,As75,D,SJB,51,2640.0914240149427,184.622135368097,2779.2865228276173,92.1500238882048
18,Cd111,D,SJB,52,120.07847298442468,38.16229745628048,135.0579297631129,34.48165319398708
18,Cd114,D,SJB,50,224.13538418667048,21.187773904833715,243.38877741361497,7.939075861764437
18,Cr52,D,SJB,49,14691.68090355472,535.4359079047899,16260.715938460664,531.8048671020582
18,Cr53,D,SJB,53,15070.873350383335,511.7721368963233,16662.615718913337,502.00900149764914
18,Pb208,D,SJB,54,123508.14588087954,3588.2712208581793,124842.15072244954,2889.26575552372
19,As75,QC,SJB,57,10818.321014238663,298.4216508091522,10959.335656826666,252.83543130375668
19,Cd111,QC,SJB,60,2425.1527099224413,84.59870281963028,2440.327976593662,83.16941693811712
19,Cd114,QC,SJB,59,2565.7606633478595,65.86202953427723,2585.2657349176397,63.142237106798554
19,Cr52,QC,SJB,55,44159.97807430009,1130.1271943235647,45749.52337110022,1148.6096633568193
19,Cr53,QC,SJB,56,45379.65714175062,1095.276194887877,46992.20660006532,1112.4600078925907
19,Pb208,QC,SJB,58,1275117.686753464,29163.045967461137,1276469.1295668192,29109.717315421192
21,As75,D,MD,68,1653.1144860460338,187.976484492323,1805.262805670054,67.24046738919397
21,Cd111,D,MD,69,145.02830240505054,36.01544820401169,161.40171782842842,31.263557922946433
21,Cd114,D,MD,70,140.16623726040552,22.188493330888996,161.21131321155212,5.337935476681678
21,Cr52,D,MD,71,7897.047889981708,304.14490092288196,9612.094224432227,266.8178278196494
21,Cr53,D,MD,67,8017.079579408958,328.63096429718576,9756.946347075243,280.53222055251075
21,Pb208,D,MD,72,319691.9812311985,7269.05531022252,321150.1259269993,6899.889004961231
22,As75,E,SEP,76,5345.074586217473,200.67014334762706,5476.9232770372555,133.07467057609486
22,Cd111,E,SEP,74,119.15082064133004,17.25531593627365,133.33969497892085,7.616098580201181
22,Cd114,E,SEP,78,161.75805200499755,19.249231964169137,179.99529392274215,4.850421580249282
22,Cr52,E,SEP,77,25739.551444416542,695.6817146581765,27225.77629692467,706.8844672054065
22,Cr53,E,SEP,75,26535.0220051391,680.9466321984748,28042.75574866335,689.18919349512
22,Pb208,E,SEP,73,124024.09021895903,3541.399456742469,125287.68924944618,2914.609708185005
23,As75,QC,SEP,84,15768.64858052249,440.9922938483784,15969.68070220724,379.2825963563052
23,Cd111,QC,SEP,80,2699.1848092642635,164.08575255853566,2720.8188466951174,162.5657601853238
23,Cd114,QC,SEP,81,2958.3331675410936,89.66549736782295,2986.1398254123765,85.54254185222113
23,Cr52,QC,SEP,82,67268.2718670463,1841.2033564092974,69534.34620986022,1871.9020228741092
23,Cr53,QC,SEP,79,68566.39553665713,1839.0131272588271,70865.264880841,1867.413962867463
23,Pb208,QC,SEP,83,1362524.0272973115,39902.13657833794,1364450.659958419,39815.98839399927
24,As75,C,SGB,85,6074.425434463428,227.14515511836478,6214.373626921737,161.97739079437062
24,Cd111,C,SGB,87,206.7092012472316,23.72096092260641,221.76970206993644,17.141634845067674
24,Cd114,C,SGB,90,328.4223686659428,21.838989373589236,347.7799294118572,9.441155244390547
24,Cr52,C,SGB,88,56490.55536524351,1527.9946382017342,58068.07942256938,1549.2395717977295
24,Cr53,C,SGB,86,58294.53856124264,1430.2721148478647,59894.892806724136,1452.0179663773322
